"","WS8V_1","WS8V_2","MCF7V_1","MCF7V_2","TAMRV_1","TAMRV_2"
"NUDT8",2.89106353345581,2.94272601075763,2.96314405630213,2.6985010946332,2.75532652797622,3.38952359720269
"NUDT9",4.56892812617459,4.51735009166775,4.26580497459325,4.27729415559023,5.12018174275302,5.11425879926637
"NUF2",4.07329038083632,3.86156712358668,3.98550101209564,3.22366996942242,5.07875568525701,4.66380435427908
"NUFIP1",4.16552741246845,3.95064602646871,4.13573987496788,4.01180004982405,3.78777273224519,3.7752451195939
"NUFIP2",7.61375228576277,7.54104997467214,7.76760904795001,7.73032073851677,7.49606857001124,7.37173302112043
"NUGGC",0.182038607504378,0.0522681867367762,0.120086481137018,0,0.252451892220535,0.0972594425371069
"NUMA1",9.18872170219107,9.29761727922204,9.22711469061785,9.32455354057636,9.28922511194454,9.27210979756644
"NUMB",6.51496295139013,6.62910503326778,6.11596710656752,6.3835954113233,6.9704962112292,6.8870022981261
"NUMBL",3.57078425197615,3.89680036364581,3.65021203935872,3.90474771063744,3.75118585662826,4.08342319410406
"NUP107",5.98518034622761,5.74917049985007,5.84093804699339,5.62805232241254,6.7702364544269,6.56305396686745
"NUP133",5.89816165231917,5.84924231312076,5.83485224005886,5.73224542393791,5.66068572364582,5.53239545971818
"NUP153",7.11450524899942,7.15835082408659,7.08957259994136,7.05440180179012,7.24235328973946,7.07878466058059
"NUP155",5.93928400433508,5.93605202322239,6.28711517761032,6.09139221980627,5.88004945048423,5.68269708778565
"NUP160",6.97194397629496,6.92572499497439,6.63732283327594,6.54237776104311,6.89905883044497,6.78975984992548
"NUP188",6.75551116415986,6.92881606306689,7.33549256871778,6.9877346863872,6.93382264881858,6.76049656827838
"NUP205",6.93283568061616,6.85720741454347,7.11313373027053,6.74785975346723,8.10705580962981,7.90399761404259
"NUP210",7.98339243149037,8.11818850515626,8.3983790032989,8.22413970326762,7.93340365432568,8.14685805477108
"NUP210L",4.49011596813837,4.59290219569498,4.41354122626044,4.34121762231377,4.2489808528524,4.255303249644
"NUP214",6.62697220423685,6.81362213144799,6.61534773020554,6.63787621288713,6.49118753974083,6.46060789091032
"NUP35",3.83372077200248,3.6585931451296,4.12991399167653,3.77755599661908,4.34545278865295,4.08410342122128
"NUP37",4.91533589509338,4.93549999706188,4.52557044358514,4.27838938426456,5.06778978262874,5.05561925134919
"NUP43",5.03489724844235,4.98621316012198,4.70755852565703,5.11225341261156,5.35639280588857,5.07799263883031
